population size 1000 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
72,42,54,47.8,0.0063762664794921875
73,46,54,49.2,0.004517793655395508
74,44,54,50.8,0.005003929138183594
75,38,54,50.2,0.004536867141723633
76,38,54,48.6,0.004552602767944336
77,36,54,45.2,0.006922006607055664
78,34,50,46.2,0.0050144195556640625
79,34,50,45.0,0.004525661468505859
80,40,52,46.0,0.0050046443939208984
81,40,52,47.2,0.004590749740600586
82,40,50,45.0,0.0070095062255859375
83,38,56,47.6,0.0075435638427734375
84,40,56,48.4,0.004545688629150391
85,34,56,49.8,0.0043604373931884766
86,38,56,48.0,0.004004716873168945
87,40,56,48.4,0.003974437713623047
88,38,56,49.0,0.005013704299926758
89,44,56,50.8,0.004119873046875
90,40,56,48.4,0.004004001617431641
91,44,56,48.8,0.004534006118774414
92,42,56,48.8,0.0050013065338134766
93,42,56,48.0,0.005089282989501953
94,42,56,47.8,0.004199504852294922
95,42,56,47.6,0.0040132999420166016
96,46,56,49.6,0.004221439361572266
97,40,56,48.8,0.005609989166259766
98,36,56,46.6,0.00408625602722168
99,40,56,46.0,0.004013538360595703
100,40,56,48.4,0.005308389663696289
population size 100 with 100 iterations
Generation,Least Performance,Best Performance,Average Performance,Time per Generation
0,36,56,46.02
1,28,56,45.98,0.06311702728271484
2,36,56,47.4,0.0603489875793457
3,32,56,46.78,0.05869626998901367
4,34,56,46.72,0.061405181884765625
5,38,56,46.8,0.06220364570617676
6,32,56,46.72,0.07102346420288086
7,32,56,47.42,0.07801651954650879
8,36,56,47.16,0.06093025207519531
